id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
# ENTERPRISE PREMIUM MODELS
premium/claude-opus-4-enterprise-ultra,claude-opus-ultra-p,Anthropic: Claude Opus 4 Enterprise Ultra,C,10.0,50.0,1.0,200000,32000,VSTJSKC,verified,anthropic,2025-01-04,Claude Opus 4 maximum tier,95.2,92.3,88.1
premium/gpt-4-turbo-enterprise,gpt-4-turbo-ent-p,OpenAI: GPT-4 Turbo Enterprise,C,0.002,0.006,0.001,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 Turbo enterprise edition,93.2,90.1,86.2
premium/gemini-2-ultra,gemini-2-ultra-p,Google: Gemini 2 Ultra,C,0.02,0.08,-,1000000,8192,VSTJK,verified,google,2025-01-04,Gemini 2 ultra performance,92.1,89.2,85.1
premium/mistral-large-2.5,mistral-large-25-p,Mistral: Large 2.5,C,0.002,0.006,-,128000,8192,VSTJ,verified,mistral,2025-01-04,Mistral Large 2.5 advanced,88.2,85.1,81.2
# SPECIALIZED CODING MODELS
premium/claude-opus-code,claude-code-p,Anthropic: Claude Opus Code,C,6.0,30.0,0.6,200000,32000,VSTJKC,verified,anthropic,2025-01-04,Claude optimized for coding,94.1,94.2,86.1
premium/gpt-4-code-interpreter,gpt-4-code-p,OpenAI: GPT-4 Code Interpreter,C,0.003,0.009,-,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 with code execution,92.1,92.1,84.2
premium/codegemini-2,codegemini-2-p,Google: Code Gemini 2,C,0.0075,0.03,-,1000000,8192,VSTJK,verified,google,2025-01-04,Gemini 2 code optimization,90.2,91.2,83.1
premium/mistral-code-large,mistral-code-large-p,Mistral: Code Large,C,0.001,0.003,-,128000,8192,VSTJK,verified,mistral,2025-01-04,Mistral specialized code,88.2,89.1,81.2
# RESEARCH & ADVANCED MODELS
premium/claude-haiku-research,claude-haiku-research-p,Anthropic: Claude Haiku Research,C,0.00008,0.0004,-,200000,4096,VSTJKC,verified,anthropic,2025-01-04,Haiku research variant,83.1,80.1,75.2
premium/gpt-4-mini-advanced,gpt-4-mini-adv-p,OpenAI: GPT-4 Mini Advanced,C,0.000075,0.0003,-,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 Mini advanced version,85.1,82.1,77.2
premium/gemini-flash-advanced,gemini-flash-adv-p,Google: Gemini Flash Advanced,C,0.00075,0.003,-,1000000,8192,VSTJK,verified,google,2025-01-04,Gemini Flash advanced,84.2,81.2,76.1
# REASONING OPTIMIZED
premium/claude-opus-reasoning,claude-reasoning-p,Anthropic: Claude Opus Reasoning,C,5.0,25.0,0.5,200000,32000,VSTJSKC,verified,anthropic,2025-01-04,Claude with enhanced reasoning,94.1,91.2,88.2
premium/gpt-4-reasoning,gpt-4-reasoning-p,OpenAI: GPT-4 Reasoning,C,0.003,0.009,-,128000,16384,VSTJK,verified,openai,2025-01-04,GPT-4 reasoning enhanced,92.2,89.2,85.1
premium/gemini-reasoning-pro,gemini-reason-pro-p,Google: Gemini Reasoning Pro,C,0.01,0.04,-,1000000,8192,VSTJK,verified,google,2025-01-04,Gemini with reasoning,90.1,87.2,83.2
# VISION PREMIUM
premium/gpt-4-vision-ultra,gpt-4-vision-ultra-p,OpenAI: GPT-4 Vision Ultra,C,0.0025,0.0075,-,128000,4096,VSTJK,verified,openai,2025-01-04,GPT-4 Vision ultra resolution,91.2,88.1,84.1
premium/gemini-vision-ultra,gemini-vision-ultra-p,Google: Gemini Vision Ultra,C,0.0075,0.03,-,1000000,8192,VSTJK,verified,google,2025-01-04,Gemini Vision maximum,89.1,86.2,82.1
premium/claude-opus-vision,claude-opus-vision-p,Anthropic: Claude Opus Vision,C,5.0,25.0,0.5,200000,4096,VSTJSKC,verified,anthropic,2025-01-04,Claude with vision capabilities,93.2,90.1,86.2
# MULTIMODAL PREMIUM
premium/multimodal-fusion-ultra,fusion-ultra-p,ModelSuite: Multimodal Fusion Ultra,C,0.01,0.03,-,128000,8192,VSTJKC,verified,modelsuite,2025-01-04,Ultimate multimodal integration,92.1,89.2,85.1
premium/vision-language-pro,vlm-pro-p,ModelSuite: Vision-Language Pro,C,0.008,0.024,-,100000,4096,VSTJK,verified,modelsuite,2025-01-04,Pro multimodal synthesis,90.2,87.1,83.2
# MULTILINGUAL PREMIUM
