id,alias,name,status,input_price,output_price,cache_input_price,context_window,max_output,capabilities,quality,source,updated,description,mmlu_score,humaneval_score,math_score
zhipu/glm-4-plus,glm-4-plus,GLM-4 Plus,C,0.690000,0.690000,-,131072,8192,VTJS,official,zhipu,2026-01-04,Enhanced GLM-4 for complex tasks,-,-,-
zhipu/glm-4-0520,glm-4,GLM-4,C,0.140000,0.140000,-,131072,8192,VTJS,official,zhipu,2026-01-04,Standard GLM-4 model,-,-,-
zhipu/glm-4-air,glm-4-air,GLM-4 Air,C,0.001400,0.001400,-,131072,8192,TJS,official,zhipu,2026-01-04,Lightweight GLM-4 variant,-,-,-
zhipu/glm-4-airx,glm-4-airx,GLM-4 AirX,C,0.014000,0.014000,-,8192,8192,TJS,official,zhipu,2026-01-04,Fast inference GLM-4,-,-,-
zhipu/glm-4-flash,glm-4-flash,GLM-4 Flash,C,0.000000,0.000000,-,131072,8192,TJS,official,zhipu,2026-01-04,Free tier GLM-4,-,-,-
zhipu/glm-4-flashx,glm-4-flashx,GLM-4 FlashX,C,0.000000,0.000000,-,131072,8192,TJS,official,zhipu,2026-01-04,Free tier fast GLM-4,-,-,-
zhipu/glm-4-long,glm-4-long,GLM-4 Long,C,0.001400,0.001400,-,1000000,8192,TJS,official,zhipu,2026-01-04,1M context for ultra-long documents,-,-,-
zhipu/glm-4v-plus,glm-4v-plus,GLM-4V Plus,C,0.140000,0.140000,-,8192,4096,VTJS,official,zhipu,2026-01-04,Enhanced vision model,-,-,-
zhipu/glm-4v,glm-4v,GLM-4V,C,0.069000,0.069000,-,8192,4096,VTJ,official,zhipu,2026-01-04,Standard vision model,-,-,-
zhipu/glm-4v-flash,glm-4v-flash,GLM-4V Flash,C,0.000000,0.000000,-,8192,4096,VTJ,official,zhipu,2026-01-04,Free tier vision model,-,-,-
zhipu/codegeex-4,codegeex-4,CodeGeeX 4,C,0.001400,0.001400,-,131072,8192,TJS,official,zhipu,2026-01-04,Specialized code generation,-,-,-
zhipu/glm-z1-preview,glm-z1,GLM-Z1 Preview,C,0.690000,0.690000,-,16384,16384,TJK,official,zhipu,2026-01-04,Reasoning model with thinking,-,-,-
zhipu/glm-z1-air-preview,glm-z1-air,GLM-Z1 Air Preview,C,0.069000,0.069000,-,16384,16384,TJK,official,zhipu,2026-01-04,Lightweight reasoning model,-,-,-
zhipu/glm-z1-flash-preview,glm-z1-flash,GLM-Z1 Flash Preview,C,0.000000,0.000000,-,16384,16384,TJK,official,zhipu,2026-01-04,Free tier reasoning model,-,-,-
zhipu/embedding-3,embedding-3,Embedding 3,C,0.000700,-,-,8192,2048,E,official,zhipu,2026-01-04,Text embeddings,-,-,-
